PlayerId,Name,Bats,Throws
543734,Chris Rusin,L,L
543760,Marcus Semien,R,R
543766,Bryan Shaw,S,R
543768,Travis Shaw,L,R
543807,George Springer,R,R
543829,Dee Strange-Gordon,L,R
543859,Michael Tonkin,R,R
543867,Nik Turley,L,L
543877,Christian Vázquez,R,R
543883,Nick Vincent,R,R
543901,Ryan Weber,R,R
543939,Kolten Wong,L,R
544150,Albert Suárez,R,R
544365,Manny Banuelos,R,L
544369,Didi Gregorius,L,R
544725,Leury García,S,R
544727,Jeurys Familia,R,R
544928,Tyler Lyons,L,L
544931,Stephen Strasburg,R,R
545064,Jairo Díaz,R,R
545121,Ildemaro Vargas,S,R
545333,Trevor Bauer,R,R
545341,Randal Grichuk,R,R
545343,Louis Head,R,R
545350,Jake Marisnick,R,R
545358,Max Stassi,R,R
545361,Mike Trout,R,R
546318,Odúbel Herrera,L,R
546990,Anthony Alford,R,R
546991,Albert Almora Jr.,R,R
547001,Cody Poteet,R,R
547004,Rio Ruiz,L,R
547170,Nicky Delmonico,L,R
547172,Tony Wolters,L,R
547173,Christian Lopes,R,R
547176,Daniel Camarena,L,L
547179,Michael Lorenzen,R,R
547180,Bryce Harper,L,R
547184,Michael Kelly,R,R
547379,Roberto Pérez,R,R
547888,Masahiro Tanaka,R,R
547942,Kwang Hyun Kim,L,L
547943,Hyun Jin Ryu,R,L
547973,Aroldis Chapman,L,L
547989,José Abreu,R,R
548384,Brooks Raley,L,L
548389,Ross Stripling,R,R
552640,Andrew Kittredge,R,R
553869,Elias Díaz,R,R
553882,Omar Narváez,L,R
553902,Willians Astudillo,R,R
553988,Dixon Machado,R,R
553993,Eugenio Suárez,R,R
554340,Yimi García,R,R
554430,Zack Wheeler,L,R
554431,Tyler Matzek,L,L
570240,Félix Peña,R,R
570256,Gregory Polanco,L,L
570257,Joely Rodríguez,L,L
570267,Domingo Santana,R,R
570481,Erik González,R,R
570482,Gio Urshela,R,R
570488,Phillips Valdez,R,R
570560,Yolmer Sánchez,S,R
570632,José Ureña,R,R
570663,Hansel Robles,R,R
570666,Luis Cessa,R,R
570731,Jonathan Schoop,R,R
571431,Matt Adams,L,R
571439,R.J. Alvarez,R,R
571446,Mark Appel,R,R
571448,Nolan Arenado,R,R
571466,Tucker Barnhart,L,R
571479,Andrew Bellatti,R,R
571510,Matthew Boyd,L,L
571521,Rex Brothers,L,L
571527,David Buchanan,R,R
571539,Matt Carasiti,R,R
571578,Patrick Corbin,L,L
571602,Matt Davidson,R,R
571616,Matt Dermody,R,L
571656,Buck Farmer,L,R
571657,Kyle Farmer,R,R
571666,Mike Fiers,R,R
571670,Dylan Floro,L,R
571676,Seth Frankoff,R,R
571704,Ken Giles,R,R
571710,Mychal Givens,R,R
571718,Brian Goodwin,L,R
571735,David Hale,R,R
571740,Billy Hamilton,S,R
571745,Mitch Haniger,R,R
571760,Andrew Heaney,L,L
571771,Enrique Hernández,R,R
571788,Brock Holt,L,R
571800,Drew Hutchison,L,R
571858,Branden Kline,R,R
571863,Matt Koch,L,R
571871,Ian Krol,L,L
571875,Jake Lamb,L,R
571882,Derek Law,R,R
571901,Aaron Loup,L,L
571912,Luke Maile,R,R
571917,Parker Markel,R,R
571918,Deven Marrero,R,R
571927,Steven Matz,R,L
571945,Miles Mikolas,R,R
571946,Shelby Miller,R,R
571948,Hoby Milner,L,L
571951,Bryan Mitchell,L,R
571970,Max Muncy,L,R
571974,John Ryan Murphy,R,R
571976,Wil Myers,R,R
571980,Tyler Naquin,L,R
572008,Chris Owings,R,R
572020,James Paxton,L,L
572021,James Pazos,R,L
572033,Josh Phegley,R,R
572039,Stephen Piscotty,R,R
572041,AJ Pollock,R,R
572070,Garrett Richards,R,R
572073,Joey Rickard,R,L
572096,Trevor Rosenthal,R,R
572122,Kyle Seager,L,R
572125,Sam Selman,R,L
572138,Jon Singleton,L,L
572143,Burch Smith,R,R
572180,Andrew Susac,R,R
572191,Michael A. Taylor,R,R
572193,Ryan Tepera,R,R
572204,Trayce Thompson,R,R
