Year,PlayerId,Name,RunnerRuns,RunnerRunsXB,RunnerRunsSB,Opportunities
2016,457787,"Espinosa, Danny",0.1604766361560489,-0.3415536136153473,0.5020302497713962,39
2016,457803,"Bruce, Jay",-4.794629111530296,-4.327757024058043,-0.4668720874722533,49
2016,458015,"Votto, Joey",-3.810265621408152,-3.0476984237916045,-0.7625671976165479,57
2016,458731,"Gardner, Brett",5.644923592092191,4.542151281181629,1.1027723109105616,77
2016,459431,"Saunders, Michael",0.1057774152733467,0.8687755845778214,-0.7629981693044747,46
2016,460075,"Braun, Ryan",-1.566153288510875,-0.3036874014957919,-1.262465887015083,60
2016,460086,"Gordon, Alex",2.812590580362962,1.6057301693816803,1.2068604109812815,42
2016,460576,"Gómez, Carlos",1.798430045483087,0.640113732391776,1.158316313091311,48
2016,461235,"Moss, Brandon",-0.0806040191286923,-0.2399655986796308,0.1593615795509385,36
2016,461314,"Kemp, Matt",-1.093748845030488,-1.3918620393261616,0.2981131942956735,53
2016,462101,"Andrus, Elvis",6.716996159072865,5.164212582650468,1.5527835764223974,92
2016,466320,"Cabrera, Melky",-3.058236238416225,-2.9226151035858017,-0.1356211348304233,53
2016,467793,"Santana, Carlos",0.0200103522225328,0.4240758356534704,-0.4040654834309375,67
